Title,Price,Category,Image url
დიოდი SR560 5A 60V   (45586),1.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/04/do-201d_1_1-352x225.jpg
დიოდი ZP20A  1000V   (44502),18.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/04/H853e5aea816d48af8408ff0288ecf2c3g-352x225.jpg
დიოდის მოდული RM400HA34S   (16069),300.0,დიოდები,https://store.edison.ge/wp-content/uploads/2019/10/RM400HA-34S-352x225.jpg
დიოდური ბოგირი KBU608 (2813),2.85,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/04/RS608-352x225.jpg
დიოდური გამმართველი ფილტრით    (44140),25.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/04/O1CN016XKpEd1yOeJL6ZwfY_2200705146569-352x225.jpg
დიოდური ხიდი  GBJ2510  1000V 25A   (54510),5.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/11/596688_234635-352x225.jpg
დიოდური ხიდი D15XB60  15A600V    (45027),2.5,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/04/1-352x225.png
დიოდური ხიდი D15XB80   15A 800V   (54508),4.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/11/596688_234635-352x225.jpg
დიოდური ხიდი GBJ2510  25A 1000V    (45022),3.2,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/04/1-352x225.png
დიოდური ხიდი RBV5006 50A 600V   (45029),6.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/04/1-352x225.png
დიოდური ხიდის მოდული   (42608),2.5,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/O1CN01SrK2KI1Nbo0ILy9ow_0-item_pic-352x225.jpg
დნობადი მცველი (შუშის) 5×20მმ 6×30მმ 0.5A-30A 250v (3892),0.5,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2018/11/fuse-link-500x500-352x225.jpg
ელექტროლიტური კონდენსატორი (1995),0.2,ელექტროლიტური,https://store.edison.ge/wp-content/uploads/2018/01/3-352x225.jpg
ზენერის დიოდი 12V 0.5W  (37020),0.1,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2020/10/zener-352x225.jpg
ზენერის დიოდი 1W 12V  1N4742A   (48452),0.4,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2021/07/21rLzf1HSPL._AC_SS450_-352x225.jpg
ზენერის დიოდი 1W 5.1V 1N4733A   (48466),0.4,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2021/07/21rLzf1HSPL._AC_SS450_-352x225.jpg
ზენერის დიოდი 1W 8.2V  1N4738A   (48468),0.4,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2021/07/21rLzf1HSPL._AC_SS450_-352x225.jpg
ზენერის დიოდი 24v 5w 1N5359B   (48447),1.0,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2021/07/844397766_diod-ultrabystryj-uf4004-250x225.gif
ზენერის დიოდი 3.3V 0.5W  (37010),0.1,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2020/10/zener-352x225.jpg
ზენერის დიოდი 5.1V 0.5W  (37019),0.1,ზენერის დიოდები,https://store.edison.ge/wp-content/uploads/2020/10/zener-352x225.jpg
თერმისტორი 10K 1%   (16808),0.5,თერმო წინაღობა,https://store.edison.ge/wp-content/uploads/2019/10/thermistor-352x225.jpg
